ディレクトリID,U1,U2,U3,U4,U5,genre
564040,CD・DVD,Blu-ray,TVドキュメンタリー,スポーツ,,CD・DVD > Blu-ray > TVドキュメンタリー > スポーツ
553640,CD・DVD,Blu-ray,TVドキュメンタリー,その他,,CD・DVD > Blu-ray > TVドキュメンタリー > その他
564043,CD・DVD,Blu-ray,TVドキュメンタリー,タレント,,CD・DVD > Blu-ray > TVドキュメンタリー > タレント
564041,CD・DVD,Blu-ray,TVドキュメンタリー,宇宙・科学,,CD・DVD > Blu-ray > TVドキュメンタリー > 宇宙・科学
564039,CD・DVD,Blu-ray,TVドキュメンタリー,宗教,,CD・DVD > Blu-ray > TVドキュメンタリー > 宗教
564038,CD・DVD,Blu-ray,TVドキュメンタリー,動物・人体・自然,,CD・DVD > Blu-ray > TVドキュメンタリー > 動物・人体・自然
564042,CD・DVD,Blu-ray,TVドキュメンタリー,旅・紀行,,CD・DVD > Blu-ray > TVドキュメンタリー > 旅・紀行
564036,CD・DVD,Blu-ray,TVドキュメンタリー,歴史・地理,,CD・DVD > Blu-ray > TVドキュメンタリー > 歴史・地理
553526,CD・DVD,Blu-ray,TVドラマ,アジア,,CD・DVD > Blu-ray > TVドラマ > アジア
505038,CD・DVD,Blu-ray,TVドラマ,その他,,CD・DVD > Blu-ray > TVドラマ > その他
553525,CD・DVD,Blu-ray,TVドラマ,海外,,CD・DVD > Blu-ray > TVドラマ > 海外
553527,CD・DVD,Blu-ray,TVドラマ,韓国,,CD・DVD > Blu-ray > TVドラマ > 韓国
553524,CD・DVD,Blu-ray,TVドラマ,日本,,CD・DVD > Blu-ray > TVドラマ > 日本
553651,CD・DVD,Blu-ray,アイドル,,,CD・DVD > Blu-ray > アイドル
553500,CD・DVD,Blu-ray,アジア・韓国,アクション,,CD・DVD > Blu-ray > アジア・韓国 > アクション
553501,CD・DVD,Blu-ray,アジア・韓国,コメディー,,CD・DVD > Blu-ray > アジア・韓国 > コメディー
